RUC;RAZON SOCIAL;NAME_SOUND;sadsad
5750421;INVERSIONES Y SERVICIOS M Y B RENTAL;INVERSIONES_Y_SERVICIOS_EME_Y_BE_RENTAL_ESE_A_CEE;36
5864161;J V INGENIEROS CONTRATISTAS DEL PERU;JOTA_VEINGENIEROS_CONTRATISTAS_DEL_PERU;36
5223959;J Y J CANALES CONTRATISTAS GENERALES;JOTA_Y_JOTA_CANALES_CONTRATISTAS_GENERALES_ESE_A_CEE;36
6135903;JIMA CONSTRUCCIONES Y REMODELACIONES;JIMA_CONSTRUCCIONES_Y_REMODELACIONES;36
4024353;KONSTRUKTORA E INMOBILIARIA MILENIUM;CONSTRUCTORA_E_INMOBILIARIA_MILENIUM;36
5289687;LEAL CONSULTING Y FINANCIAL BUSINESS;LEAL_CONSULTING_Y_FINANCIAL_BUSINESS;36
5224949;LOS ANDES CONSTRUCCIONES Y SERVICIOS;LOS_ANDES_CONSTRUCCIONES_Y_SERVICIOS;36
1133467;METROPOLI CONTRATISTAS INMOBILIARIOS;METROPOLI_KONTRATISTAS_INMOBILIARIOS;36
2692387;MEVALAB CERTIFICACIONES INSPECCIONES;MEVALAB_CERTIFICACIONES_E_INSPECCIONES;36
6289775;MUNICIPAL DE AGUA POT.Y ALCANT.SALAS;MUNICIPAL_DE_AGUA_POTABLE;36
9141528;MUNICIPALIDAD DISTRITAL DE CANCHAQUE;MUNICIPALIDAD_DISTRITAL_CANCHAQUE;36
2467628;MUNICIPALIDAD DISTRITAL DE SAN RAMON;MUNICIPALIDAD_DISTRITAL_DE_SAN_RAMON;36
2504393;MUNICIPALIDAD DISTRITAL DE TABALOSOS;MUNICIPALIDAD_DE_TABALOSOS;36
2147588;MUNICIPALIDAD PROVINCIAL DE CHICLAYO;MUNICIPALIDAD_PROVINCIAL_DE_CHICLAYO;36
8473414;MUNICIPALIDADCIPALIDAD PADRE MARQUEZ;MUNISIPALIDAD_DISTRITAL_DE_PADRE_MARQUES;36
1927569;PERFORACIONES DEL NOR OESTE DEL PERU;PERFORACIONES_DEL_NOROESTE_DEL_PERU;36
1963353;SERVICIOS Y OPERACIONES LOGISTICAS J;SERVICIOS_Y_OPERACIONES_LOGISTICAS_JOTA;36
9624769;SOLUCIONES FERRETERAS E INDUSTRIALES;SOLUCIONES_FERRETERAS_E_INDUSTRIALES;36
1841814;ASOCIACION AGRICOLA COMPOSITAN ALTO;ASOCIACION_AGRICOLA_COMPOSITAN_ALTO;35
1374626;ASOCIACION MUTUALISTA OFICIALES PNP;ASOCIACION_MUTUALISTA_OFICIALES;35
2110650;CADENA DE RADIO Y TELEVISION COSMOS;CADENA_DE_RADIO_Y_TELEVISION_COSMOS;35
3691338;CONSORCIO CONSTRUCCIONES INTEGRALES;CONSORCIO_CONSTRUCCIONES_INTEGRALES;35
